itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int.stopped,int_key.keys,int_key.rt,int_key.started,int_key.stopped,prepare_gyak_text.started,prepare_gyak_text.stopped,fix.started,fix.stopped,word1.started,word1.stopped,word2.started,word2.stopped,gykrec_inst.started,gykrec_inst.stopped,gyakrec_inst.keys,gyakrec_inst.rt,gyakrec_inst.started,gyakrec_inst.stopped,cueword,cueword1.started,cueword1.stopped,cue_resp.keys,cue_resp.rt,cue_resp.started,cue_resp.stopped,cue_cont_text.started,cue_cont_text.stopped,cue_space.started,cue_space.stopped,test_ansbox.text,test_ansbox.started,test_ansbox.stopped,ans_text.started,ans_text.stopped,ans_continue.keys,ans_continue.rt,ans_continue.started,ans_continue.stopped,main_prep.started,main_prep.stopped,main_prep_resp.keys,main_prep_resp.rt,main_prep_resp.started,main_prep_resp.stopped,preparation.started,preparation.stopped,break_text.started,break_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test_instruction.started,test_instruction.stopped,test_i_key.keys,test_i_key.rt,test_i_key.started,test_i_key.stopped,rep_routine.keys,rep_routine.rt,rep_routine.started,rep_routine.stopped,encrep_textbox.started,encrep_textbox.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,21.149224315595347,None,4,14.834056219027843,21.149224315595347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
4,kard,harcsa,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,36.00996531022247,None,39.09543988003861,None,40.03346816555131,None,40.03346816555131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
1,sapka,beton,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,46.02262643555878,None,47.04108256823383,None,47.04108256823383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
2,lepke,szintetizátor,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,53.017635072232224,None,54.03366410045419,None,54.03366410045419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
3,majoránna,szikla,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,60.0123473185231,None,61.04555206053192,None,61.04555206053192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.02293930936139,None,4,22.962270717311185,67.02293930936139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
1,sapka,beton,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,90.04047361505218,None,,,,,,,,,,,sapka,91.0440430509625,None,4,4.662690950965043,91.0440430509625,None,91.0440430509625,None,91.0440430509625,None,beton,95.78090779430931,None,95.78090779430931,None,down,4.858974781644065,95.78090779430931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
2,lepke,szintetizátor,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,100.6630818877602,None,,,,,,,,,,,szintetizátor,101.69278872560244,None,4,1.8889186073793098,101.69278872560244,None,101.69278872560244,None,101.69278872560244,None, lepke,103.62931515474338,None,103.62931515474338,None,down,3.0102710308274254,103.62931515474338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
3,majoránna,szikla,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,106.6791292654234,None,,,,,,,,,,,szikla,107.70800695661455,None,4,10.398599656531587,107.70800695661455,None,107.70800695661455,None,107.70800695661455,None, ,118.14885546040023,None,118.14885546040023,None,down,4.5867475245613605,118.14885546040023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
4,kard,harcsa,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,122.77348777151201,None,,,,,,,,,,,kard,123.78477517561987,None,4,2.105776844487991,123.78477517561987,None,123.78477517561987,None,123.78477517561987,None,harcsa,125.93006275518565,None,125.93006275518565,None,down,4.197482765477616,125.93006275518565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.14789537951583,None,4,49.53633192490088,130.14789537951583,None,,,,,,,,,,,,,,,,,,,,,548792,2022_Apr_01_1430,palt,2021.1.2,59.98067398891009,
